movie_id,title,tags
19995,Avatar,"in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization. action adventure fantasy science fiction culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d sam worthington zoe saldana sigourney weaver james cameron"
285,Pirates of the Caribbean: At World's End,"captain barbossa, long believed to be dead, has come back to life and is headed to the edge of the earth with will turner and elizabeth swann. but nothing is quite as it seems. adventure fantasy action ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger johnny depp orlando bloom keira knightley gore verbinski"
206647,Spectre,"a cryptic message from bond’s past sends him on a trail to uncover a sinister organization. while m battles political forces to keep the secret service alive, bond peels back the layers of deceit to reveal the terrible truth behind spectre. action adventure crime spy based on novel secret agent sequel mi6 british secret service united kingdom daniel craig christoph waltz léa seydoux sam mendes"
49026,The Dark Knight Rises,"following the death of district attorney harvey dent, batman assumes responsibility for dent's crimes to protect the late attorney's reputation and is subsequently hunted by the gotham city police department. eight years later, batman encounters the mysterious selina kyle and the villainous bane, a new terrorist leader who overwhelms gotham's finest. the dark knight resurfaces to protect a city that has branded him an enemy. action crime drama thriller dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman christian bale michael caine gary oldman christopher nolan"
49529,John Carter,"john carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of barsoom (mars) and reluctantly becomes embroiled in an epic conflict. it's a world on the brink of collapse, and carter rediscovers his humanity when he realizes the survival of barsoom and its people rests in his hands. action adventure science fiction based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d taylor kitsch lynn collins samantha morton andrew stanton"
559,Spider-Man 3,"the seemingly invincible spider-man goes up against an all-new crop of villain – including the shape-shifting sandman. while spider-man’s superpowers are altered by an alien organism, his alter ego, peter parker, deals with nemesis eddie brock and also gets caught up in a love triangle. fantasy action adventure dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge tobey maguire kirsten dunst james franco sam raimi"
38757,Tangled,"when the kingdom's most wanted-and most charming-bandit flynn rider hides out in a mysterious tower, he's taken hostage by rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs. animation family hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick zachary levi mandy moore donna murphy byron howard"
99861,Avengers: Age of Ultron,"when tony stark tries to jumpstart a dormant peacekeeping program, things go awry and earth’s mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance. as the villainous ultron emerges, it is up to the avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure. action adventure science fiction marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d robert downey jr. chris hemsworth mark ruffalo joss whedon"
767,Harry Potter and the Half-Blood Prince,"as harry begins his sixth year at hogwarts, he discovers an old book marked as 'property of the half-blood prince', and begins to learn more about lord voldemort's dark past. adventure fantasy family witch magic broom school of witchcraft wizardry apparition teenage crush werewolf daniel radcliffe rupert grint emma watson david yates"
209112,Batman v Superman: Dawn of Justice,"fearing the actions of a god-like super hero left unchecked, gotham city’s own formidable, forceful vigilante takes on metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. and with batman and superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before. action adventure fantasy dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe ben affleck henry cavill gal gadot zack snyder"
1452,Superman Returns,"superman returns to discover his 5-year absence has allowed lex luthor to walk free, and that those he was closest too felt abandoned and have moved on. luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the man of steel. adventure fantasy action science fiction saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor brandon routh kevin spacey kate bosworth bryan singer"
10764,Quantum of Solace,"quantum of solace continues the adventures of james bond after casino royale. betrayed by vesper, the woman he loved, 007 fights the urge to make his latest mission personal. pursuing his determination to uncover the truth, bond and m interrogate mr. white, who reveals that the organization that blackmailed vesper is far more complex and dangerous than anyone had imagined. adventure action thriller crime killing undercover secret agent british secret service daniel craig olga kurylenko mathieu amalric marc forster"
58,Pirates of the Caribbean: Dead Man's Chest,"captain jack sparrow works his way out of a blood debt with the ghostly davey jones, he also attempts to avoid eternal damnation. adventure fantasy action witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger johnny depp orlando bloom keira knightley gore verbinski"
57201,The Lone Ranger,"the texas rangers chase down a gang of outlaws led by butch cavendish, but the gang ambushes the rangers, seemingly killing them all. one survivor is found, however, by an american indian named tonto, who nurses him back to health. the ranger, donning a mask and riding a white stallion named silver, teams up with tonto to bring the unscrupulous gang and others of that ilk to justice. action adventure western texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto johnny depp armie hammer william fichtner gore verbinski"
49521,Man of Steel,"a young boy learns that he has extraordinary powers and is not of this earth. as a young man, he journeys to discover where he came from and what he was sent here to do. but the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind. action adventure fantasy science fiction saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe henry cavill amy adams michael shannon zack snyder"
